고객번호,성별,나이,가입일자
CST2021042133336,Female,37,2024-06-21 18:27:10.913934848
CST2021060721982,Male,41,2023-09-09 16:03:55.512950528
CST2020121123463,Male,36,2022-05-23 21:26:08.397609216
CST2022032319904,Female,44,2023-05-19 12:02:49.079410432
CST202112145647,Female,36,2022-10-12 22:03:07.984740608
CST2022042648443,Female,41,2023-03-01 17:08:59.961990144
CST202210180316,Female,38,2023-09-28 10:01:19.646925056
CST202207092513,Male,36,2022-03-08 14:26:44.146766848
CST2020110431424,Female,44,2022-07-11 12:12:21.634684416
CST2021090530066,Male,34,2023-12-08 09:11:42.320178432
CST202205054808,Female,41,2022-02-05 22:54:55.453356288
CST2020040548335,Male,29,2023-07-21 22:58:11.909439488
CST2021120526745,Male,40,2022-09-09 18:23:26.886606336
CST2022012621295,Female,43,2024-04-30 03:23:58.845995264
CST2020040734719,Female,38,2024-02-24 18:45:08.361879552
CST202211205403,Female,39,2024-05-16 00:19:55.225649920
CST2021011947381,Female,45,2022-03-30 10:05:03.624355328
CST2021120319039,Female,43,2024-07-26 00:33:57.833088512
CST2021030744341,Female,30,2022-05-16 04:11:06.759890688
CST202007318055,Female,36,2024-03-30 15:47:54.395808256
CST2020013135176,Female,37,2022-12-21 03:53:45.515773696
CST202012201385,Female,40,2024-06-18 16:57:48.845564416
CST2021020414680,Female,38,2022-01-01 23:31:42.011576064
CST2022033015229,Female,36,2023-10-12 04:45:55.203805440
CST2022021940226,Female,36,2024-07-26 21:51:09.437365760
CST2021061127640,Male,33,2023-10-16 14:56:52.156047872
CST202008281669,Female,35,2023-10-28 13:32:02.418614528
CST2021032346375,Female,42,2023-09-21 13:09:42.945110528
CST2021061733074,Female,34,2024-07-11 13:39:25.280133120
CST2022060828227,Female,35,2023-11-07 23:38:14.601479168
CST2022122135153,Female,33,2023-04-14 02:42:59.534816768
CST202001191256,Female,40,2022-08-22 09:27:38.670190848
CST2020031231224,Female,42,2024-01-02 22:20:11.635236608
CST2022110639555,Male,43,2022-06-01 16:25:01.702014976
CST2020032744782,Male,37,2022-02-28 12:44:06.405732352
CST2021040712273,Male,38,2023-12-20 20:34:46.604157440
CST2022081210318,Female,39,2022-12-14 10:36:14.140930560
CST2022032137000,Female,37,2022-07-19 20:38:30.566286848
CST2020061937381,Male,40,2023-12-24 11:09:14.970072832
CST2020032631541,Female,43,2024-03-28 07:26:43.583601920
CST2021050144440,Female,42,2022-04-10 08:57:30.590632192
CST2022100936094,Female,38,2023-01-26 21:09:39.293252608
CST2022062526694,Female,36,2022-01-23 09:01:07.911756288
CST2020052018338,Male,34,2024-02-19 15:36:23.457318912
CST2021121749680,Female,32,2022-01-08 17:42:29.880331008
CST2020012034306,Female,41,2023-01-03 20:41:35.145624320
CST2022122346116,Female,38,2024-04-30 09:13:04.325814016
CST202011162926,Female,39,2023-07-04 12:46:25.963198720
CST2021072725987,Female,48,2024-01-27 06:32:20.747641088
CST2021041816658,Female,45,2022-05-08 03:15:15.176675584
CST2022061220625,Male,39,2022-04-19 00:52:26.208549120
CST2020022414809,Male,39,2022-11-30 20:06:32.412138240
CST2022020740520,Male,34,2023-09-27 01:46:11.874967296
CST2021010139920,Male,41,2022-06-03 20:25:13.284162560
CST2020122113545,Female,39,2022-03-03 17:53:26.398578432
CST2022072243098,Male,35,2024-07-08 05:33:52.136647424
CST2021091642517,Female,39,2022-10-01 21:58:49.401939712
CST2022061537271,Female,43,2023-08-12 04:30:24.538445312
CST2021120114730,Female,47,2023-09-14 07:02:30.482943232
CST2020052045915,Female,33,2022-02-06 09:39:14.795800576
CST2021081612903,Female,34,2023-06-18 01:54:29.705104384
CST2020101833496,Female,38,2022-07-08 16:27:59.287365120
CST2022082724236,Male,39,2022-03-26 15:57:46.567768320
CST2020032625963,Female,45,2023-01-09 21:19:41.837386496
CST2020021846676,Female,43,2024-01-17 20:28:56.627820288
CST2020032747134,Female,30,2024-07-01 20:24:06.414694656
CST202010087895,Female,37,2023-04-12 08:08:43.383130880
CST2022102226759,Male,33,2024-04-16 00:15:04.312405760
CST2020111712389,Female,33,2024-06-09 08:46:48.157015808
CST2021012048274,Male,41,2023-02-22 05:56:29.576421888
CST202001289861,Male,39,2022-05-17 22:22:12.539310080
CST2021032110465,Female,45,2022-10-20 02:51:02.750747648
CST202108195501,Female,33,2023-01-01 01:32:11.927031296
CST2022052725110,Male,38,2023-03-05 03:59:14.888558080
CST2020030514057,Male,36,2023-08-31 06:38:26.544250368
CST2021032231514,Male,45,2023-08-31 18:46:59.482662144
CST202204087340,Male,35,2023-05-27 17:54:26.060202240
